UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,AgeGroup,SessionCategory,HighImmersion,SevereSickness
85,27,Other,Htc Vive,5.01,7,2,Adulto joven,Corta,False,True
86,45,Other,Htc Vive,14.34,6,1,Adulto,Corta,False,False
87,37,Male,Oculus Rift,55.22,2,2,Adulto joven,Larga,False,False
88,33,Female,Playstation Vr,50.59,9,2,Adulto joven,Larga,False,True
89,42,Female,Playstation Vr,36.97,2,4,Adulto,Larga,True,False
90,19,Other,Htc Vive,42.0,2,5,Joven,Larga,True,False
91,54,Other,Playstation Vr,13.02,4,4,Adulto,Corta,True,False
92,43,Female,Htc Vive,31.43,1,4,Adulto,Media,True,False
93,48,Other,Htc Vive,28.11,10,3,Adulto,Media,False,True
94,21,Other,Oculus Rift,21.28,1,2,Joven,Media,False,False
95,55,Female,Playstation Vr,42.98,7,1,Adulto mayor,Larga,False,True
96,58,Other,Playstation Vr,57.4,4,5,Adulto mayor,Larga,True,False
97,49,Female,Oculus Rift,39.51,8,1,Adulto,Larga,False,True
98,47,Female,Playstation Vr,15.53,8,1,Adulto,Media,False,True
99,41,Other,Htc Vive,52.25,7,3,Adulto,Larga,False,True
100,37,Female,Playstation Vr,35.44,8,5,Adulto joven,Larga,True,True
101,21,Male,Htc Vive,43.63,8,1,Joven,Larga,False,True
102,57,Other,Htc Vive,40.26,6,4,Adulto mayor,Larga,True,False
103,22,Male,Htc Vive,27.97,5,3,Joven,Media,False,False
104,58,Male,Oculus Rift,5.94,8,2,Adulto mayor,Corta,False,True
105,27,Male,Htc Vive,44.63,1,3,Adulto joven,Larga,False,False
106,38,Male,Oculus Rift,37.22,4,2,Adulto joven,Larga,False,False
107,29,Male,Htc Vive,58.58,3,2,Adulto joven,Larga,False,False
108,55,Male,Playstation Vr,43.45,10,4,Adulto mayor,Larga,True,True
109,39,Female,Oculus Rift,39.98,1,1,Adulto joven,Larga,False,False
110,21,Other,Htc Vive,51.05,9,3,Joven,Larga,False,True
111,25,Male,Oculus Rift,25.33,3,2,Adulto joven,Media,False,False
112,60,Other,Htc Vive,12.7,1,4,Adulto mayor,Corta,True,False
113,39,Female,Playstation Vr,27.2,4,5,Adulto joven,Media,True,False
114,42,Male,Oculus Rift,31.65,8,4,Adulto,Media,True,True
115,37,Female,Playstation Vr,12.78,6,1,Adulto joven,Corta,False,False
116,46,Female,Oculus Rift,31.17,1,4,Adulto,Media,True,False
117,34,Male,Oculus Rift,6.14,5,1,Adulto joven,Corta,False,False
118,59,Female,Htc Vive,5.5,10,1,Adulto mayor,Corta,False,True
119,40,Male,Htc Vive,42.45,5,1,Adulto,Larga,False,False
120,38,Male,Playstation Vr,17.99,3,4,Adulto joven,Media,True,False
121,60,Female,Htc Vive,7.38,10,1,Adulto mayor,Corta,False,True
122,33,Female,Htc Vive,55.24,8,3,Adulto joven,Larga,False,True
123,40,Female,Oculus Rift,51.74,3,3,Adulto,Larga,False,False
124,40,Other,Htc Vive,19.53,1,2,Adulto,Media,False,False
125,18,Female,Playstation Vr,23.44,10,4,Joven,Media,True,True
126,41,Other,Oculus Rift,50.25,1,1,Adulto,Larga,False,False
127,60,Other,Playstation Vr,58.77,1,5,Adulto mayor,Larga,True,False
128,35,Other,Htc Vive,15.31,10,1,Adulto joven,Media,False,True
129,50,Other,Playstation Vr,18.48,8,4,Adulto,Media,True,True
130,26,Female,Htc Vive,56.39,2,1,Adulto joven,Larga,False,False
131,19,Male,Playstation Vr,5.19,5,5,Joven,Corta,True,False
132,42,Other,Playstation Vr,14.69,5,5,Adulto,Corta,True,False
133,40,Other,Playstation Vr,11.21,7,4,Adulto,Corta,True,True
134,21,Female,Playstation Vr,17.67,9,5,Joven,Media,True,True
135,49,Other,Playstation Vr,53.55,7,4,Adulto,Larga,True,True
136,35,Other,Playstation Vr,22.59,8,2,Adulto joven,Media,False,True
137,39,Female,Htc Vive,43.69,10,2,Adulto joven,Larga,False,True
138,57,Other,Playstation Vr,15.13,2,3,Adulto mayor,Media,False,False
139,42,Female,Oculus Rift,7.08,5,5,Adulto,Corta,True,False
140,58,Male,Oculus Rift,28.88,2,1,Adulto mayor,Media,False,False
141,45,Other,Oculus Rift,43.39,8,2,Adulto,Larga,False,True
142,34,Other,Oculus Rift,49.27,1,5,Adulto joven,Larga,True,False
143,36,Other,Playstation Vr,43.68,3,3,Adulto joven,Larga,False,False
144,21,Male,Oculus Rift,32.33,9,1,Joven,Media,False,True
145,18,Other,Htc Vive,10.46,5,2,Joven,Corta,False,False
146,31,Male,Oculus Rift,54.33,3,1,Adulto joven,Larga,False,False
147,37,Other,Oculus Rift,56.06,4,1,Adulto joven,Larga,False,False
148,33,Other,Playstation Vr,13.32,7,1,Adulto joven,Corta,False,True
149,20,Female,Htc Vive,45.24,2,4,Joven,Larga,True,False
150,26,Other,Playstation Vr,33.8,4,2,Adulto joven,Media,False,False
151,39,Other,Oculus Rift,32.73,3,4,Adulto joven,Media,True,False
152,49,Female,Oculus Rift,22.53,10,3,Adulto,Media,False,True
153,42,Other,Htc Vive,43.14,3,4,Adulto,Larga,True,False
154,20,Other,Htc Vive,57.38,3,5,Joven,Larga,True,False
155,43,Female,Htc Vive,9.02,4,5,Adulto,Corta,True,False
156,35,Female,Oculus Rift,11.31,10,3,Adulto joven,Corta,False,True
157,55,Female,Htc Vive,32.13,5,5,Adulto mayor,Media,True,False
158,36,Other,Oculus Rift,24.25,1,1,Adulto joven,Media,False,False
159,55,Female,Playstation Vr,32.42,10,1,Adulto mayor,Media,False,True
160,60,Female,Playstation Vr,59.03,6,3,Adulto mayor,Larga,False,False
161,60,Male,Playstation Vr,29.03,8,1,Adulto mayor,Media,False,True
162,58,Other,Playstation Vr,57.27,10,3,Adulto mayor,Larga,False,True
163,19,Other,Htc Vive,54.24,2,1,Joven,Larga,False,False
164,25,Female,Oculus Rift,38.97,1,3,Adulto joven,Larga,False,False
165,19,Male,Oculus Rift,31.39,5,2,Joven,Media,False,False
166,39,Female,Playstation Vr,8.69,2,4,Adulto joven,Corta,True,False
167,30,Male,Htc Vive,13.42,6,5,Adulto joven,Corta,True,False
168,48,Female,Oculus Rift,9.94,1,5,Adulto,Corta,True,False
169,32,Other,Htc Vive,51.86,3,5,Adulto joven,Larga,True,False
170,36,Male,Playstation Vr,41.15,10,1,Adulto joven,Larga,False,True
171,24,Female,Htc Vive,41.14,5,1,Joven,Larga,False,False
172,43,Male,Htc Vive,48.1,1,1,Adulto,Larga,False,False
173,39,Other,Htc Vive,43.93,8,1,Adulto joven,Larga,False,True
174,58,Female,Oculus Rift,37.11,2,1,Adulto mayor,Larga,False,False
175,48,Female,Oculus Rift,33.08,9,2,Adulto,Media,False,True
176,38,Male,Playstation Vr,21.84,9,2,Adulto joven,Media,False,True
177,55,Female,Htc Vive,20.85,3,2,Adulto mayor,Media,False,False
178,23,Male,Htc Vive,19.48,1,2,Joven,Media,False,False
179,31,Female,Htc Vive,25.13,9,1,Adulto joven,Media,False,True
180,27,Female,Htc Vive,6.34,9,3,Adulto joven,Corta,False,True
181,26,Other,Htc Vive,24.29,3,1,Adulto joven,Media,False,False
182,24,Male,Oculus Rift,59.17,2,4,Joven,Larga,True,False
183,34,Other,Oculus Rift,34.12,7,5,Adulto joven,Media,True,True
184,26,Female,Playstation Vr,51.68,4,2,Adulto joven,Larga,False,False
185,33,Other,Oculus Rift,42.9,8,3,Adulto joven,Larga,False,True
186,55,Female,Playstation Vr,35.81,10,3,Adulto mayor,Larga,False,True
187,42,Male,Oculus Rift,13.4,2,1,Adulto,Corta,False,False
188,29,Female,Htc Vive,26.22,1,3,Adulto joven,Media,False,False
189,28,Female,Oculus Rift,46.05,1,2,Adulto joven,Larga,False,False
190,55,Other,Oculus Rift,54.99,4,5,Adulto mayor,Larga,True,False
191,57,Other,Playstation Vr,22.27,10,4,Adulto mayor,Media,True,True
192,29,Female,Oculus Rift,52.67,2,3,Adulto joven,Larga,False,False
193,55,Female,Playstation Vr,59.17,4,1,Adulto mayor,Larga,False,False
194,41,Female,Playstation Vr,42.9,3,3,Adulto,Larga,False,False
195,39,Male,Oculus Rift,45.17,8,3,Adulto joven,Larga,False,True
196,37,Other,Playstation Vr,32.14,6,1,Adulto joven,Media,False,False
197,20,Other,Htc Vive,45.29,8,5,Joven,Larga,True,True
198,55,Male,Oculus Rift,42.96,8,5,Adulto mayor,Larga,True,True
199,56,Other,Playstation Vr,41.03,3,4,Adulto mayor,Larga,True,False
200,33,Other,Htc Vive,11.47,10,1,Adulto joven,Corta,False,True
201,55,Male,Oculus Rift,8.46,3,4,Adulto mayor,Corta,True,False
202,38,Male,Htc Vive,25.72,3,4,Adulto joven,Media,True,False
203,32,Female,Htc Vive,42.38,7,1,Adulto joven,Larga,False,True
204,21,Other,Oculus Rift,9.21,2,1,Joven,Corta,False,False
205,40,Other,Playstation Vr,8.72,5,2,Adulto,Corta,False,False
206,20,Other,Oculus Rift,28.09,7,2,Joven,Media,False,True
207,18,Male,Htc Vive,31.58,4,4,Joven,Media,True,False
208,41,Female,Htc Vive,28.23,4,5,Adulto,Media,True,False
209,25,Male,Oculus Rift,13.82,7,2,Adulto joven,Corta,False,True
210,48,Male,Oculus Rift,31.18,1,5,Adulto,Media,True,False
211,51,Other,Htc Vive,52.78,6,2,Adulto,Larga,False,False
212,24,Female,Playstation Vr,26.77,8,5,Joven,Media,True,True
213,53,Female,Oculus Rift,32.22,10,2,Adulto,Media,False,True
214,42,Male,Htc Vive,21.12,6,4,Adulto,Media,True,False
215,56,Female,Htc Vive,5.93,10,1,Adulto mayor,Corta,False,True
216,59,Male,Playstation Vr,55.27,5,5,Adulto mayor,Larga,True,False
217,32,Male,Oculus Rift,56.23,9,5,Adulto joven,Larga,True,True
218,20,Male,Oculus Rift,51.49,6,3,Joven,Larga,False,False
219,47,Other,Oculus Rift,35.16,9,5,Adulto,Larga,True,True
220,42,Female,Htc Vive,58.68,9,2,Adulto,Larga,False,True
221,29,Female,Playstation Vr,32.43,2,4,Adulto joven,Media,True,False
222,38,Other,Playstation Vr,45.74,10,1,Adulto joven,Larga,False,True
223,20,Other,Htc Vive,14.99,6,2,Joven,Corta,False,False
224,38,Other,Oculus Rift,56.87,5,4,Adulto joven,Larga,True,False
225,60,Other,Playstation Vr,52.77,4,4,Adulto mayor,Larga,True,False
226,20,Female,Oculus Rift,44.21,7,4,Joven,Larga,True,True
227,30,Female,Oculus Rift,24.55,4,5,Adulto joven,Media,True,False
228,19,Female,Playstation Vr,12.27,1,3,Joven,Corta,False,False
229,30,Male,Htc Vive,15.07,9,2,Adulto joven,Media,False,True
230,47,Female,Playstation Vr,43.91,4,4,Adulto,Larga,True,False
231,31,Male,Oculus Rift,49.22,3,5,Adulto joven,Larga,True,False
232,25,Male,Oculus Rift,23.19,10,2,Adulto joven,Media,False,True
233,60,Male,Playstation Vr,17.25,9,3,Adulto mayor,Media,False,True
234,35,Other,Oculus Rift,28.57,2,4,Adulto joven,Media,True,False
235,41,Other,Oculus Rift,33.51,5,5,Adulto,Media,True,False
236,36,Other,Oculus Rift,27.6,10,2,Adulto joven,Media,False,True
237,39,Other,Htc Vive,35.27,1,3,Adulto joven,Larga,False,False
238,31,Other,Htc Vive,35.15,1,1,Adulto joven,Larga,False,False
239,23,Male,Playstation Vr,6.63,3,2,Joven,Corta,False,False
240,52,Female,Oculus Rift,28.35,5,2,Adulto,Media,False,False
241,20,Male,Playstation Vr,36.82,3,4,Joven,Larga,True,False
242,47,Female,Playstation Vr,18.27,6,4,Adulto,Media,True,False
243,24,Other,Htc Vive,30.17,2,1,Joven,Media,False,False
244,52,Other,Htc Vive,56.1,5,3,Adulto,Larga,False,False
245,35,Male,Oculus Rift,41.6,2,5,Adulto joven,Larga,True,False
246,36,Other,Playstation Vr,56.14,10,3,Adulto joven,Larga,False,True
247,51,Other,Htc Vive,50.3,1,2,Adulto,Larga,False,False
248,42,Other,Htc Vive,19.98,6,1,Adulto,Media,False,False
249,53,Other,Oculus Rift,29.09,6,4,Adulto,Media,True,False
250,38,Male,Htc Vive,20.69,7,3,Adulto joven,Media,False,True
251,34,Male,Oculus Rift,25.93,4,4,Adulto joven,Media,True,False
252,35,Male,Htc Vive,14.54,5,1,Adulto joven,Corta,False,False
253,60,Other,Oculus Rift,24.89,4,5,Adulto mayor,Media,True,False
254,20,Other,Htc Vive,52.19,3,2,Joven,Larga,False,False
255,32,Male,Oculus Rift,59.14,9,1,Adulto joven,Larga,False,True
256,30,Other,Oculus Rift,51.55,10,2,Adulto joven,Larga,False,True
257,32,Female,Htc Vive,41.2,2,1,Adulto joven,Larga,False,False
258,56,Female,Oculus Rift,58.46,4,4,Adulto mayor,Larga,True,False
259,49,Female,Htc Vive,26.06,10,2,Adulto,Media,False,True
260,38,Female,Htc Vive,5.35,10,1,Adulto joven,Corta,False,True
261,59,Female,Oculus Rift,15.89,4,3,Adulto mayor,Media,False,False
262,41,Male,Playstation Vr,12.32,4,4,Adulto,Corta,True,False
263,48,Male,Oculus Rift,22.68,4,1,Adulto,Media,False,False
264,32,Female,Oculus Rift,7.23,9,5,Adulto joven,Corta,True,True
265,24,Male,Htc Vive,51.9,8,2,Joven,Larga,False,True
266,29,Male,Playstation Vr,21.41,8,2,Adulto joven,Media,False,True
267,53,Male,Htc Vive,28.26,5,1,Adulto,Media,False,False
268,57,Other,Oculus Rift,30.9,1,5,Adulto mayor,Media,True,False
269,42,Female,Oculus Rift,42.63,10,1,Adulto,Larga,False,True
270,58,Other,Htc Vive,40.29,5,5,Adulto mayor,Larga,True,False
271,37,Other,Oculus Rift,13.16,10,5,Adulto joven,Corta,True,True
272,29,Female,Oculus Rift,43.22,10,3,Adulto joven,Larga,False,True
273,25,Female,Htc Vive,36.34,7,1,Adulto joven,Larga,False,True
274,27,Other,Playstation Vr,36.08,5,4,Adulto joven,Larga,True,False
275,33,Female,Htc Vive,28.26,1,3,Adulto joven,Media,False,False
276,38,Female,Playstation Vr,35.99,5,1,Adulto joven,Larga,False,False
277,57,Other,Oculus Rift,52.04,6,5,Adulto mayor,Larga,True,False
278,39,Male,Htc Vive,58.33,6,4,Adulto joven,Larga,True,False
279,55,Other,Oculus Rift,21.78,2,3,Adulto mayor,Media,False,False
280,41,Other,Oculus Rift,5.61,5,4,Adulto,Corta,True,False
281,24,Male,Playstation Vr,55.58,9,1,Joven,Larga,False,True
282,47,Male,Htc Vive,44.41,5,3,Adulto,Larga,False,False
283,47,Female,Oculus Rift,31.4,7,4,Adulto,Media,True,True
284,40,Female,Oculus Rift,59.73,9,4,Adulto,Larga,True,True
285,20,Other,Playstation Vr,5.68,9,4,Joven,Corta,True,True
286,54,Other,Playstation Vr,24.8,7,2,Adulto,Media,False,True
287,56,Male,Oculus Rift,43.61,8,2,Adulto mayor,Larga,False,True
288,47,Other,Oculus Rift,15.85,9,5,Adulto,Media,True,True
289,23,Female,Playstation Vr,40.94,2,1,Joven,Larga,False,False
290,32,Other,Oculus Rift,19.3,9,5,Adulto joven,Media,True,True
291,31,Female,Oculus Rift,7.5,8,5,Adulto joven,Corta,True,True
292,42,Male,Htc Vive,35.27,3,5,Adulto,Larga,True,False
293,51,Male,Playstation Vr,21.39,5,3,Adulto,Media,False,False
294,28,Other,Oculus Rift,57.1,7,1,Adulto joven,Larga,False,True
295,40,Female,Oculus Rift,45.28,3,4,Adulto,Larga,True,False
296,33,Male,Oculus Rift,52.45,9,3,Adulto joven,Larga,False,True
297,23,Male,Playstation Vr,43.9,7,1,Joven,Larga,False,True
298,39,Other,Htc Vive,55.9,1,1,Adulto joven,Larga,False,False
299,31,Female,Oculus Rift,22.84,9,4,Adulto joven,Media,True,True
300,18,Other,Htc Vive,51.81,7,3,Joven,Larga,False,True
301,46,Other,Playstation Vr,36.6,6,1,Adulto,Larga,False,False
302,27,Female,Htc Vive,42.75,10,2,Adulto joven,Larga,False,True
303,30,Other,Oculus Rift,27.1,4,5,Adulto joven,Media,True,False
304,30,Other,Htc Vive,19.27,3,5,Adulto joven,Media,True,False
305,55,Female,Htc Vive,20.62,6,3,Adulto mayor,Media,False,False
306,34,Male,Playstation Vr,37.12,1,5,Adulto joven,Larga,True,False
307,18,Male,Htc Vive,53.96,9,4,Joven,Larga,True,True
308,58,Male,Oculus Rift,57.28,10,1,Adulto mayor,Larga,False,True
309,37,Female,Oculus Rift,25.23,1,3,Adulto joven,Media,False,False
310,33,Other,Playstation Vr,58.22,6,2,Adulto joven,Larga,False,False
311,30,Other,Playstation Vr,19.1,3,3,Adulto joven,Media,False,False
312,51,Other,Playstation Vr,55.63,5,5,Adulto,Larga,True,False
313,29,Female,Oculus Rift,6.22,7,4,Adulto joven,Corta,True,True
314,33,Male,Playstation Vr,56.73,8,2,Adulto joven,Larga,False,True
315,41,Male,Htc Vive,28.08,1,3,Adulto,Media,False,False
316,38,Female,Htc Vive,28.49,8,1,Adulto joven,Media,False,True
317,31,Other,Htc Vive,44.28,1,4,Adulto joven,Larga,True,False
318,50,Female,Playstation Vr,52.92,1,2,Adulto,Larga,False,False
319,20,Other,Oculus Rift,41.4,7,3,Joven,Larga,False,True
320,25,Female,Htc Vive,45.32,5,4,Adulto joven,Larga,True,False
321,25,Male,Playstation Vr,12.47,6,5,Adulto joven,Corta,True,False
322,24,Other,Oculus Rift,26.89,3,1,Joven,Media,False,False
323,28,Female,Oculus Rift,39.13,10,2,Adulto joven,Larga,False,True
324,55,Female,Htc Vive,42.41,10,1,Adulto mayor,Larga,False,True
325,31,Female,Playstation Vr,16.05,6,2,Adulto joven,Media,False,False
326,47,Other,Oculus Rift,5.99,5,2,Adulto,Corta,False,False
327,47,Male,Oculus Rift,53.94,2,1,Adulto,Larga,False,False
328,34,Female,Playstation Vr,44.54,8,3,Adulto joven,Larga,False,True
329,35,Male,Htc Vive,41.85,7,5,Adulto joven,Larga,True,True
330,21,Other,Htc Vive,30.67,7,3,Joven,Media,False,True
331,38,Female,Oculus Rift,5.2,7,1,Adulto joven,Corta,False,True
332,19,Female,Playstation Vr,47.81,3,4,Joven,Larga,True,False
333,33,Male,Oculus Rift,54.4,8,1,Adulto joven,Larga,False,True
334,21,Other,Oculus Rift,24.55,2,4,Joven,Media,True,False
335,34,Other,Oculus Rift,59.1,10,2,Adulto joven,Larga,False,True
336,33,Male,Htc Vive,36.32,7,4,Adulto joven,Larga,True,True
337,35,Male,Oculus Rift,30.57,8,3,Adulto joven,Media,False,True
338,28,Male,Htc Vive,39.66,6,3,Adulto joven,Larga,False,False
339,56,Other,Htc Vive,53.72,3,4,Adulto mayor,Larga,True,False
340,59,Male,Oculus Rift,51.29,7,2,Adulto mayor,Larga,False,True
341,24,Male,Playstation Vr,42.23,2,3,Joven,Larga,False,False
342,49,Male,Oculus Rift,56.66,10,5,Adulto,Larga,True,True
343,18,Male,Playstation Vr,36.62,8,2,Joven,Larga,False,True
344,46,Female,Htc Vive,13.79,4,2,Adulto,Corta,False,False
345,41,Other,Oculus Rift,10.76,3,5,Adulto,Corta,True,False
346,24,Male,Playstation Vr,27.64,7,4,Joven,Media,True,True
347,40,Male,Oculus Rift,11.58,7,1,Adulto,Corta,False,True
348,31,Male,Playstation Vr,18.39,1,2,Adulto joven,Media,False,False
349,22,Other,Oculus Rift,44.51,1,3,Joven,Larga,False,False
350,49,Female,Htc Vive,28.11,10,3,Adulto,Media,False,True
351,20,Female,Playstation Vr,28.12,5,2,Joven,Media,False,False
352,50,Other,Playstation Vr,35.4,10,4,Adulto,Larga,True,True
353,29,Male,Oculus Rift,31.47,5,4,Adulto joven,Media,True,False
354,53,Female,Oculus Rift,31.29,10,1,Adulto,Media,False,True
355,18,Female,Oculus Rift,25.35,1,1,Joven,Media,False,False
356,49,Other,Htc Vive,49.46,10,3,Adulto,Larga,False,True
357,50,Male,Playstation Vr,32.79,3,4,Adulto,Media,True,False
358,26,Male,Htc Vive,40.23,1,5,Adulto joven,Larga,True,False
359,25,Other,Htc Vive,15.66,9,5,Adulto joven,Media,True,True
360,23,Other,Htc Vive,28.3,6,3,Joven,Media,False,False
361,24,Female,Htc Vive,20.44,9,2,Joven,Media,False,True
362,40,Male,Htc Vive,17.96,1,3,Adulto,Media,False,False
363,30,Male,Playstation Vr,25.46,7,4,Adulto joven,Media,True,True
364,28,Male,Playstation Vr,38.96,4,3,Adulto joven,Larga,False,False
365,35,Male,Playstation Vr,51.15,1,5,Adulto joven,Larga,True,False
366,27,Female,Oculus Rift,25.72,4,3,Adulto joven,Media,False,False
367,44,Other,Oculus Rift,52.83,2,5,Adulto,Larga,True,False
368,26,Female,Htc Vive,26.89,8,5,Adulto joven,Media,True,True
369,54,Male,Playstation Vr,21.01,5,4,Adulto,Media,True,False
370,58,Other,Playstation Vr,23.82,2,2,Adulto mayor,Media,False,False
371,55,Other,Htc Vive,24.07,3,3,Adulto mayor,Media,False,False
372,29,Male,Playstation Vr,12.25,4,2,Adulto joven,Corta,False,False
373,51,Other,Htc Vive,18.6,8,5,Adulto,Media,True,True
374,54,Female,Oculus Rift,19.1,4,3,Adulto,Media,False,False
375,44,Other,Playstation Vr,35.45,8,3,Adulto,Larga,False,True
376,37,Other,Oculus Rift,30.08,2,3,Adulto joven,Media,False,False
377,31,Male,Playstation Vr,7.38,2,5,Adulto joven,Corta,True,False
378,44,Other,Htc Vive,10.61,3,2,Adulto,Corta,False,False
379,26,Other,Oculus Rift,22.04,3,2,Adulto joven,Media,False,False
380,57,Female,Htc Vive,52.09,9,5,Adulto mayor,Larga,True,True
